id,titulo,artista,ano,genero,danceability,energy,valence,acousticness,instrumentalness,speechiness,liveness,loudness,tempo,duration_ms,popularidade,hit
16,Faixa 0016,Artista 042,2014,funk,0.393,0.99,0.866,0.401,0.2357,0.382,0.065,-9.05,115,211983,53,0
17,Faixa 0017,Artista 101,2014,funk,0.642,0.444,0.722,0.375,0.0652,0.287,0.236,-10.63,117,250148,45,0
18,Faixa 0018,Artista 041,2022,trap,0.747,0.877,0.398,0.051,0.072,0.355,0.126,-11.7,100,176419,94,0
19,Faixa 0019,Artista 225,2024,trap,0.682,0.86,0.849,0.195,0.0734,0.423,0.06,-5.69,132,254283,100,1
20,Faixa 0020,Artista 177,2020,pop,0.869,0.499,0.442,0.03,0.1278,0.243,0.083,-8.53,85,224903,100,1
21,Faixa 0021,Artista 261,2012,mpb,0.607,0.759,0.464,0.551,0.0304,0.262,0.335,-4.15,148,186681,50,0
22,Faixa 0022,Artista 146,2022,pop,0.557,0.85,0.135,0.576,0.2475,0.028,0.034,-2.76,123,219632,67,0
23,Faixa 0023,Artista 039,2014,eletronica,0.748,0.968,0.406,0.497,0.1892,0.028,0.185,-8.7,86,256413,84,0
24,Faixa 0024,Artista 174,2024,mpb,0.99,0.531,0.51,0.419,0.0853,0.086,0.521,-9.33,104,211576,100,1
25,Faixa 0025,Artista 073,2021,trap,0.778,0.624,0.502,0.492,0.1959,0.213,0.346,-3.7,64,162022,100,1
26,Faixa 0026,Artista 317,2018,funk,0.458,0.758,0.4,0.113,0.0845,0.165,0.086,-9.99,151,177168,46,0
27,Faixa 0027,Artista 072,2019,eletronica,0.768,0.448,0.145,0.071,0.1829,0.113,0.059,-6.25,117,123536,65,0
28,Faixa 0028,Artista 058,2013,eletronica,0.763,0.503,0.2,0.342,0.1562,0.266,0.198,-11.5,88,258020,17,0
29,Faixa 0029,Artista 326,2015,funk,0.573,0.443,0.364,0.066,0.0455,0.05,0.075,-4.72,90,116927,64,0
30,Faixa 0030,Artista 042,2014,sertanejo,0.339,0.597,0.482,0.365,0.0583,0.128,0.171,-6.13,118,173726,12,0
31,Faixa 0031,Artista 343,2023,pop,0.546,0.57,0.645,0.374,0.3965,0.231,0.222,-7.89,205,198342,9,0
32,Faixa 0032,Artista 219,2022,eletronica,0.513,0.207,0.493,0.408,0.3229,0.168,0.085,-1.0,105,206528,30,0
33,Faixa 0033,Artista 056,2019,trap,0.811,0.556,0.593,0.261,0.0302,0.18,0.433,-2.4,75,236435,98,1
34,Faixa 0034,Artista 285,2017,trap,0.524,0.863,0.697,0.369,0.1947,0.153,0.229,-4.32,160,155510,67,0
35,Faixa 0035,Artista 226,2010,pop,0.784,0.452,0.061,0.031,0.4359,0.053,0.044,-7.56,118,207925,32,0
36,Faixa 0036,Artista 199,2019,pop,0.727,0.633,0.451,0.291,0.3868,0.082,0.032,-6.72,140,246220,53,0
37,Faixa 0037,Artista 130,2019,sertanejo,0.722,0.803,0.464,0.213,0.3152,0.02,0.188,-8.52,142,169499,100,1
38,Faixa 0038,Artista 347,2015,eletronica,0.639,0.775,0.256,0.247,0.1982,0.18,0.123,-9.75,143,221304,75,0
39,Faixa 0039,Artista 113,2023,eletronica,0.618,0.774,0.403,0.122,0.1143,0.239,0.076,-7.25,106,182248,60,0
40,Faixa 0040,Artista 139,2022,pop,0.517,0.867,0.242,0.166,0.0188,0.027,0.152,-7.87,154,207636,55,0
41,Faixa 0041,Artista 142,2021,sertanejo,0.608,0.516,0.52,0.133,0.0816,0.088,0.295,-10.9,78,315607,50,0
42,Faixa 0042,Artista 054,2016,trap,0.671,0.619,0.466,0.21,0.2467,0.053,0.223,-7.64,103,98865,61,0
43,Faixa 0043,Artista 301,2015,mpb,0.606,0.669,0.29,0.28,0.0619,0.02,0.185,-5.45,81,242508,50,0
44,Faixa 0044,Artista 030,2016,funk,0.721,0.778,0.39,0.306,0.145,0.186,0.395,-7.11,78,217621,77,0
45,Faixa 0045,Artista 200,2017,rock,0.586,0.256,0.201,0.335,0.1623,0.116,0.27,-6.86,133,239949,14,0
46,Faixa 0046,Artista 017,2024,sertanejo,0.651,0.732,0.709,0.691,0.0213,0.309,0.337,-5.12,137,172032,65,0
47,Faixa 0047,Artista 041,2013,pop,0.651,0.544,0.888,0.135,0.157,0.309,0.214,-9.69,108,153298,100,1
48,Faixa 0048,Artista 130,2017,sertanejo,0.779,0.552,0.798,0.158,0.4421,0.203,0.302,-10.44,148,174483,61,0
49,Faixa 0049,Artista 014,2017,pop,0.696,0.56,0.354,0.1,0.1128,0.37,0.434,-8.55,124,249573,55,0
50,Faixa 0050,Artista 161,2016,pop,0.674,0.715,0.826,0.311,0.0796,0.064,0.48,-7.6,158,202011,100,1
51,Faixa 0051,Artista 028,2016,trap,0.259,0.17,0.646,0.279,0.2166,0.056,0.218,-7.69,76,195018,0,0
52,Faixa 0052,Artista 167,2022,trap,0.629,0.416,0.651,0.32,0.0141,0.047,0.056,-14.22,122,149399,32,0
53,Faixa 0053,Artista 281,2022,funk,0.772,0.623,0.839,0.302,0.1222,0.108,0.124,-10.86,106,224919,78,0
54,Faixa 0054,Artista 110,2017,trap,0.902,0.814,0.473,0.256,0.3952,0.205,0.02,-3.84,132,202955,100,1
55,Faixa 0055,Artista 026,2017,sertanejo,0.53,0.278,0.55,0.112,0.0185,0.173,0.308,-3.61,182,205400,20,0
56,Faixa 0056,Artista 294,2024,rock,0.532,0.539,0.548,0.131,0.0662,0.144,0.189,-5.09,96,156784,43,0
57,Faixa 0057,Artista 195,2015,pop,0.655,0.881,0.568,0.377,0.235,0.316,0.074,-7.61,108,207559,98,1
58,Faixa 0058,Artista 153,2023,mpb,0.749,0.666,0.538,0.572,0.1568,0.191,0.137,-10.13,123,234480,68,0
59,Faixa 0059,Artista 313,2019,eletronica,0.738,0.744,0.343,0.225,0.0531,0.16,0.487,-6.79,92,209993,73,0
60,Faixa 0060,Artista 217,2011,sertanejo,0.557,0.888,0.87,0.489,0.1887,0.063,0.141,-6.32,75,208746,62,0
61,Faixa 0061,Artista 033,2011,trap,0.431,0.715,0.342,0.201,0.0878,0.149,0.427,-4.86,110,182640,37,0
62,Faixa 0062,Artista 030,2021,trap,0.662,0.552,0.557,0.335,0.4138,0.093,0.083,-5.33,90,227990,45,0
63,Faixa 0063,Artista 316,2022,rock,0.739,0.72,0.873,0.262,0.0107,0.033,0.053,-10.65,144,187307,100,1
64,Faixa 0064,Artista 300,2023,rock,0.565,0.604,0.389,0.164,0.0653,0.445,0.277,-7.52,102,198756,41,0
65,Faixa 0065,Artista 124,2016,trap,0.876,0.876,0.637,0.211,0.2114,0.057,0.136,-6.0,136,214062,100,1
66,Faixa 0066,Artista 251,2016,pop,0.411,0.494,0.14,0.304,0.0997,0.129,0.101,-8.75,113,222297,0,0
67,Faixa 0067,Artista 011,2013,sertanejo,0.638,0.651,0.501,0.209,0.0832,0.039,0.205,-8.08,98,190203,61,0
68,Faixa 0068,Artista 025,2021,rock,0.714,0.797,0.764,0.173,0.0525,0.13,0.222,-11.3,134,231401,74,0
69,Faixa 0069,Artista 127,2022,sertanejo,0.729,0.703,0.181,0.392,0.1307,0.317,0.251,-7.53,144,311916,89,0
70,Faixa 0070,Artista 201,2020,sertanejo,0.728,0.48,0.352,0.282,0.1288,0.102,0.254,-10.64,112,198811,34,0
71,Faixa 0071,Artista 234,2012,funk,0.618,0.736,0.406,0.264,0.1359,0.084,0.187,-6.72,97,182445,46,0
72,Faixa 0072,Artista 030,2021,pop,0.78,0.97,0.58,0.214,0.1246,0.055,0.355,-11.39,144,102733,100,1
73,Faixa 0073,Artista 299,2015,mpb,0.825,0.504,0.568,0.325,0.0164,0.31,0.437,-3.88,78,214763,73,0
74,Faixa 0074,Artista 311,2015,eletronica,0.448,0.561,0.135,0.475,0.4359,0.02,0.152,-5.15,66,236586,0,0
75,Faixa 0075,Artista 056,2013,sertanejo,0.5,0.593,0.408,0.13,0.1125,0.147,0.138,-11.85,147,194839,14,0
76,Faixa 0076,Artista 111,2018,funk,0.609,0.569,0.621,0.136,0.2467,0.3,0.163,-7.2,132,275865,40,0
77,Faixa 0077,Artista 019,2023,trap,0.63,0.815,0.484,0.249,0.0273,0.035,0.057,-5.87,154,192399,75,0
78,Faixa 0078,Artista 019,2021,pop,0.451,0.814,0.53,0.573,0.2077,0.02,0.442,-6.97,116,254419,41,0
79,Faixa 0079,Artista 236,2019,pop,0.623,0.68,0.714,0.152,0.4144,0.059,0.044,-2.88,118,205696,83,0
80,Faixa 0080,Artista 121,2016,mpb,0.533,0.505,0.502,0.205,0.0537,0.196,0.13,-2.62,78,225645,39,0
81,Faixa 0081,Artista 136,2018,pop,0.905,0.818,0.645,0.251,0.1022,0.329,0.207,-10.17,123,161734,100,1
82,Faixa 0082,Artista 340,2010,eletronica,0.6,0.495,0.99,0.261,0.2222,0.236,0.416,-8.35,173,245342,52,0
83,Faixa 0083,Artista 289,2018,trap,0.484,0.88,0.769,0.456,0.1825,0.174,0.077,-3.17,91,303898,100,1
84,Faixa 0084,Artista 014,2011,rock,0.516,0.547,0.28,0.261,0.207,0.07,0.199,-1.0,119,184606,52,0
85,Faixa 0085,Artista 152,2022,eletronica,0.836,0.779,0.644,0.116,0.1409,0.116,0.1,-6.15,147,133077,100,1
86,Faixa 0086,Artista 205,2020,eletronica,0.611,0.665,0.62,0.403,0.4783,0.13,0.148,-5.01,108,237601,31,0
87,Faixa 0087,Artista 246,2010,funk,0.598,0.742,0.796,0.189,0.286,0.178,0.444,-4.84,61,178911,55,0
88,Faixa 0088,Artista 085,2024,funk,0.755,0.627,0.262,0.376,0.1355,0.105,0.147,-7.32,115,203786,64,0
89,Faixa 0089,Artista 197,2015,pop,0.64,0.631,0.339,0.324,0.2502,0.034,0.095,-6.91,115,153380,1,0
90,Faixa 0090,Artista 085,2012,eletronica,0.818,0.548,0.609,0.366,0.2794,0.18,0.304,-5.19,143,158517,57,0
91,Faixa 0091,Artista 199,2015,funk,0.704,0.408,0.423,0.324,0.019,0.102,0.151,-5.03,88,184040,57,0
92,Faixa 0092,Artista 029,2023,mpb,0.744,0.377,0.196,0.342,0.0211,0.161,0.305,-9.2,90,272335,50,0
93,Faixa 0093,Artista 237,2012,rock,0.89,0.649,0.246,0.087,0.3272,0.036,0.195,-5.75,119,201484,69,0
94,Faixa 0094,Artista 187,2013,pop,0.735,0.491,0.362,0.539,0.0676,0.15,0.02,-9.79,112,245102,58,0
95,Faixa 0095,Artista 135,2024,mpb,0.738,0.926,0.423,0.351,0.1689,0.097,0.133,-5.4,133,155111,100,1
96,Faixa 0096,Artista 181,2021,funk,0.585,0.554,0.471,0.135,0.0246,0.052,0.408,-12.48,91,239820,41,0
97,Faixa 0097,Artista 319,2017,sertanejo,0.507,0.663,0.392,0.201,0.1365,0.078,0.137,-3.96,126,152629,48,0
98,Faixa 0098,Artista 150,2022,mpb,0.685,0.612,0.556,0.051,0.2717,0.094,0.172,-4.32,155,180999,69,0
99,Faixa 0099,Artista 043,2011,sertanejo,0.561,0.639,0.46,0.448,0.0413,0.154,0.097,-6.55,105,188440,51,0
100,Faixa 0100,Artista 282,2017,trap,0.621,0.27,0.962,0.575,0.0552,0.204,0.316,-3.04,107,258411,51,0
101,Faixa 0101,Artista 029,2021,trap,0.675,0.929,0.558,0.492,0.0762,0.049,0.22,-9.21,117,200734,100,1
102,Faixa 0102,Artista 005,2015,trap,0.729,0.77,0.664,0.113,0.1442,0.307,0.162,-6.44,161,294210,100,1
103,Faixa 0103,Artista 217,2023,eletronica,0.834,0.548,0.356,0.108,0.024,0.135,0.216,-1.4,140,225002,92,0
104,Faixa 0104,Artista 144,2022,mpb,0.596,0.729,0.398,0.251,0.2091,0.081,0.067,-10.8,144,271051,0,0
105,Faixa 0105,Artista 146,2014,eletronica,0.78,0.722,0.537,0.152,0.3079,0.114,0.397,-6.6,120,189912,51,0
106,Faixa 0106,Artista 187,2022,funk,0.729,0.679,0.706,0.055,0.214,0.091,0.363,-6.35,89,157247,84,0
107,Faixa 0107,Artista 183,2019,rock,0.65,0.589,0.724,0.46,0.1204,0.193,0.14,-7.13,114,166538,70,0
108,Faixa 0108,Artista 205,2021,funk,0.765,0.608,0.99,0.382,0.1951,0.169,0.079,-7.08,108,203583,75,0
109,Faixa 0109,Artista 071,2024,pop,0.733,0.719,0.622,0.386,0.0282,0.231,0.046,-9.06,117,240661,100,1
110,Faixa 0110,Artista 015,2015,trap,0.835,0.548,0.386,0.172,0.0544,0.092,0.07,-3.61,138,191355,92,0
111,Faixa 0111,Artista 341,2010,rock,0.646,0.529,0.816,0.224,0.0967,0.045,0.149,-8.56,122,114159,45,0
112,Faixa 0112,Artista 235,2021,trap,0.827,0.506,0.337,0.165,0.1111,0.076,0.104,-7.69,65,202908,67,0
113,Faixa 0113,Artista 004,2019,funk,0.599,0.709,0.762,0.148,0.0205,0.152,0.2,-4.81,88,271586,89,0
114,Faixa 0114,Artista 241,2024,eletronica,0.918,0.621,0.648,0.452,0.1791,0.228,0.131,-6.7,99,193263,100,1
115,Faixa 0115,Artista 208,2020,funk,0.598,0.868,0.439,0.556,0.0761,0.182,0.2,-6.38,125,199026,80,0
116,Faixa 0116,Artista 243,2010,funk,0.551,0.781,0.467,0.505,0.237,0.215,0.231,-11.91,127,165185,40,0
117,Faixa 0117,Artista 118,2013,rock,0.617,0.306,0.443,0.342,0.1398,0.119,0.19,-9.78,152,213941,21,0
118,Faixa 0118,Artista 302,2014,eletronica,0.608,0.434,0.421,0.145,0.0451,0.055,0.408,-10.27,55,166965,5,0
119,Faixa 0119,Artista 103,2024,rock,0.756,0.437,0.03,0.068,0.0527,0.081,0.185,-12.82,119,184774,16,0
120,Faixa 0120,Artista 346,2012,funk,0.594,0.854,0.437,0.486,0.1094,0.071,0.078,-3.69,131,211987,44,0
121,Faixa 0121,Artista 198,2022,mpb,0.517,0.99,0.508,0.163,0.07,0.066,0.167,-9.39,89,221122,84,0
122,Faixa 0122,Artista 105,2021,pop,0.857,0.5,0.469,0.331,0.2946,0.126,0.09,-7.32,81,130182,81,0
123,Faixa 0123,Artista 345,2017,mpb,0.603,0.79,0.393,0.58,0.189,0.232,0.137,-7.15,103,161146,64,0
124,Faixa 0124,Artista 242,2016,pop,0.845,0.446,0.315,0.16,0.1336,0.15,0.092,-4.99,151,235190,100,1
125,Faixa 0125,Artista 200,2010,eletronica,0.349,0.534,0.06,0.564,0.2519,0.21,0.118,-1.27,137,270411,0,0
126,Faixa 0126,Artista 220,2019,eletronica,0.614,0.573,0.441,0.107,0.0564,0.136,0.756,-8.62,118,280514,48,0
127,Faixa 0127,Artista 171,2018,pop,0.948,0.785,0.296,0.261,0.063,0.275,0.146,-8.81,91,154778,100,1
128,Faixa 0128,Artista 104,2015,pop,0.539,0.651,0.782,0.023,0.0754,0.038,0.153,-5.84,127,202509,61,0
129,Faixa 0129,Artista 267,2012,sertanejo,0.872,0.645,0.487,0.182,0.1271,0.342,0.273,-5.55,127,186024,100,1
130,Faixa 0130,Artista 084,2014,eletronica,0.487,0.741,0.749,0.369,0.017,0.022,0.243,-10.8,95,173575,68,0
131,Faixa 0131,Artista 070,2024,trap,0.57,0.651,0.687,0.253,0.1219,0.308,0.167,-11.3,104,218739,70,0
132,Faixa 0132,Artista 230,2015,pop,0.528,0.738,0.494,0.044,0.1646,0.087,0.209,-10.45,124,151809,78,0
133,Faixa 0133,Artista 219,2016,eletronica,0.512,0.473,0.589,0.411,0.1982,0.059,0.209,-8.45,118,247712,36,0
134,Faixa 0134,Artista 198,2022,sertanejo,0.435,0.431,0.534,0.383,0.111,0.091,0.085,-4.98,150,231345,23,0
135,Faixa 0135,Artista 198,2017,sertanejo,0.541,0.565,0.696,0.231,0.2272,0.02,0.297,-8.82,133,322625,46,0
136,Faixa 0136,Artista 020,2010,pop,0.672,0.764,0.658,0.127,0.0544,0.041,0.081,-5.27,107,235086,100,1
137,Faixa 0137,Artista 282,2016,trap,0.468,0.82,0.621,0.224,0.0808,0.051,0.071,-3.7,89,196540,60,0
138,Faixa 0138,Artista 084,2022,rock,0.213,0.919,0.47,0.246,0.183,0.042,0.294,-8.45,133,311627,9,0
139,Faixa 0139,Artista 335,2016,rock,0.551,0.641,0.237,0.394,0.1481,0.058,0.233,-7.65,126,142891,32,0
140,Faixa 0140,Artista 142,2022,trap,0.775,0.586,0.562,0.232,0.056,0.07,0.206,-1.54,121,236331,89,0
141,Faixa 0141,Artista 201,2021,sertanejo,0.835,0.558,0.892,0.743,0.002,0.258,0.128,-4.69,104,259259,97,0
142,Faixa 0142,Artista 222,2021,eletronica,0.458,0.787,0.747,0.285,0.2802,0.042,0.312,-3.72,122,212274,56,0
143,Faixa 0143,Artista 199,2017,eletronica,0.255,0.61,0.235,0.256,0.2625,0.193,0.246,-8.33,142,150068,0,0
144,Faixa 0144,Artista 038,2023,mpb,0.722,0.454,0.528,0.629,0.1039,0.134,0.36,-13.5,113,232881,23,0
145,Faixa 0145,Artista 069,2011,rock,0.297,0.99,0.581,0.252,0.0466,0.02,0.201,-5.66,148,231768,90,0
146,Faixa 0146,Artista 244,2019,eletronica,0.223,0.618,0.598,0.27,0.0899,0.195,0.262,-9.11,87,119734,9,0
147,Faixa 0147,Artista 217,2019,pop,0.507,0.405,0.03,0.442,0.0716,0.052,0.134,-9.12,88,187114,0,0
148,Faixa 0148,Artista 201,2015,sertanejo,0.444,0.652,0.163,0.445,0.121,0.449,0.064,-5.56,205,187707,25,0
149,Faixa 0149,Artista 085,2018,rock,0.773,0.676,0.386,0.231,0.1217,0.353,0.323,-10.22,179,187046,100,1
150,Faixa 0150,Artista 206,2015,pop,0.49,0.788,0.273,0.078,0.1215,0.035,0.14,-8.69,109,212076,66,0
151,Faixa 0151,Artista 206,2023,rock,0.624,0.746,0.342,0.206,0.1508,0.079,0.095,-6.71,110,135516,28,0
152,Faixa 0152,Artista 250,2015,eletronica,0.645,0.719,0.464,0.441,0.2769,0.166,0.07,-9.24,151,158024,64,0
153,Faixa 0153,Artista 157,2018,sertanejo,0.537,0.64,0.764,0.252,0.6243,0.034,0.209,-5.18,140,151899,62,0
154,Faixa 0154,Artista 174,2021,mpb,0.766,0.605,0.354,0.343,0.0518,0.106,0.239,-6.74,99,203126,62,0
155,Faixa 0155,Artista 190,2022,sertanejo,0.538,0.841,0.539,0.082,0.0164,0.053,0.168,-6.71,172,216017,66,0
156,Faixa 0156,Artista 047,2024,mpb,0.632,0.727,0.744,0.371,0.0923,0.056,0.116,-9.53,123,152690,58,0
157,Faixa 0157,Artista 020,2019,sertanejo,0.677,0.851,0.459,0.416,0.2136,0.1,0.155,-6.68,137,189070,96,0
158,Faixa 0158,Artista 117,2016,eletronica,0.74,0.462,0.572,0.118,0.0596,0.021,0.144,-7.82,122,269339,70,0
159,Faixa 0159,Artista 126,2018,mpb,0.425,0.504,0.215,0.247,0.0364,0.058,0.02,-6.95,103,218737,0,0
160,Faixa 0160,Artista 302,2010,sertanejo,0.439,0.611,0.571,0.235,0.0934,0.142,0.111,-10.65,110,190451,63,0
161,Faixa 0161,Artista 226,2016,rock,0.216,0.49,0.465,0.492,0.1624,0.315,0.109,-10.89,163,226347,0,0
162,Faixa 0162,Artista 282,2011,sertanejo,0.671,0.822,0.498,0.176,0.2288,0.071,0.351,-7.34,76,252802,90,0
163,Faixa 0163,Artista 202,2014,trap,0.765,0.477,0.441,0.117,0.4019,0.308,0.33,-9.94,144,187556,35,0
164,Faixa 0164,Artista 247,2018,rock,0.362,0.682,0.189,0.591,0.0912,0.294,0.572,-8.99,83,197411,0,0
165,Faixa 0165,Artista 254,2017,eletronica,0.856,0.549,0.724,0.148,0.3898,0.304,0.103,-7.66,138,173188,78,0
166,Faixa 0166,Artista 048,2024,rock,0.243,0.691,0.673,0.164,0.4089,0.149,0.41,-5.45,118,164998,0,0
167,Faixa 0167,Artista 088,2024,mpb,0.517,0.443,0.672,0.123,0.1104,0.137,0.093,-6.33,108,117286,22,0
168,Faixa 0168,Artista 010,2020,funk,0.775,0.349,0.802,0.285,0.036,0.282,0.216,-10.38,139,192427,31,0
169,Faixa 0169,Artista 272,2016,trap,0.769,0.29,0.077,0.853,0.08,0.257,0.047,-10.67,154,169267,0,0
170,Faixa 0170,Artista 004,2012,sertanejo,0.638,0.62,0.287,0.089,0.152,0.086,0.527,-7.65,166,208204,81,0
171,Faixa 0171,Artista 234,2020,pop,0.338,0.573,0.073,0.482,0.0033,0.08,0.147,-13.11,146,131761,0,0
172,Faixa 0172,Artista 260,2015,rock,0.827,0.754,0.339,0.26,0.2828,0.105,0.091,-9.74,75,168675,40,0
173,Faixa 0173,Artista 348,2014,sertanejo,0.777,0.583,0.242,0.112,0.1171,0.125,0.131,-6.37,106,148448,55,0
174,Faixa 0174,Artista 100,2010,trap,0.399,0.99,0.439,0.118,0.1407,0.199,0.101,-7.49,133,187460,64,0
175,Faixa 0175,Artista 293,2012,pop,0.652,0.809,0.604,0.35,0.0297,0.124,0.026,-1.69,106,159391,87,0
176,Faixa 0176,Artista 183,2012,mpb,0.598,0.756,0.99,0.633,0.193,0.178,0.223,-9.74,101,163859,35,0
177,Faixa 0177,Artista 177,2022,mpb,0.57,0.889,0.427,0.356,0.074,0.116,0.201,-9.12,137,162083,79,0
178,Faixa 0178,Artista 208,2023,trap,0.464,0.795,0.504,0.192,0.223,0.33,0.225,-1.24,84,213075,65,0
179,Faixa 0179,Artista 100,2023,funk,0.359,0.604,0.726,0.184,0.1071,0.258,0.205,-6.68,103,189786,6,0
180,Faixa 0180,Artista 227,2014,funk,0.207,0.546,0.295,0.044,0.1516,0.096,0.284,-5.16,108,139329,0,0
181,Faixa 0181,Artista 088,2019,rock,0.677,0.663,0.497,0.375,0.1198,0.043,0.171,-13.49,107,205755,39,0
182,Faixa 0182,Artista 260,2021,sertanejo,0.459,0.924,0.461,0.296,0.0485,0.151,0.234,-7.9,133,170519,58,0
183,Faixa 0183,Artista 322,2024,mpb,0.756,0.548,0.85,0.089,0.0646,0.037,0.139,-4.61,101,167893,100,1
184,Faixa 0184,Artista 059,2012,eletronica,0.759,0.607,0.431,0.16,0.0621,0.233,0.452,-6.45,109,111252,66,0
185,Faixa 0185,Artista 252,2021,eletronica,0.64,0.566,0.734,0.115,0.366,0.167,0.267,-5.57,151,170873,65,0
186,Faixa 0186,Artista 192,2017,eletronica,0.826,0.772,0.385,0.214,0.085,0.02,0.02,-3.2,142,274573,100,1
187,Faixa 0187,Artista 187,2018,sertanejo,0.492,0.522,0.58,0.194,0.1194,0.095,0.121,-3.85,173,200976,50,0
188,Faixa 0188,Artista 318,2011,sertanejo,0.743,0.567,0.203,0.507,0.1092,0.161,0.244,-9.66,146,207181,42,0
189,Faixa 0189,Artista 285,2016,mpb,0.493,0.616,0.592,0.51,0.0539,0.138,0.064,-8.39,99,224482,50,0
190,Faixa 0190,Artista 263,2024,pop,0.663,0.658,0.528,0.47,0.1601,0.02,0.322,-5.44,98,158416,98,1
191,Faixa 0191,Artista 222,2023,sertanejo,0.807,0.605,0.1,0.374,0.1576,0.1,0.329,-11.36,125,170829,45,0
192,Faixa 0192,Artista 280,2010,rock,0.479,0.815,0.555,0.252,0.0228,0.172,0.667,-4.0,120,186135,71,0
193,Faixa 0193,Artista 223,2013,trap,0.801,0.583,0.219,0.033,0.213,0.128,0.24,-9.06,81,218666,88,0
194,Faixa 0194,Artista 117,2018,trap,0.706,0.69,0.463,0.27,0.0175,0.066,0.214,-4.01,99,171988,58,0
195,Faixa 0195,Artista 316,2022,rock,0.528,0.469,0.623,0.29,0.3643,0.069,0.261,-10.43,159,189707,29,0
196,Faixa 0196,Artista 315,2012,mpb,0.531,0.681,0.324,0.243,0.0888,0.133,0.434,-7.01,75,123808,54,0
197,Faixa 0197,Artista 198,2019,pop,0.535,0.833,0.685,0.328,0.3012,0.106,0.134,-5.83,99,193244,70,0
198,Faixa 0198,Artista 302,2021,pop,0.687,0.988,0.174,0.396,0.0784,0.133,0.416,-12.35,104,192535,100,1
199,Faixa 0199,Artista 201,2024,eletronica,0.707,0.87,0.766,0.44,0.0606,0.114,0.039,-10.92,164,194527,89,0
200,Faixa 0200,Artista 211,2010,mpb,0.643,0.519,0.653,0.546,0.2855,0.02,0.208,-3.62,147,143493,12,0
201,Faixa 0201,Artista 235,2018,sertanejo,0.604,0.835,0.383,0.274,0.0325,0.02,0.197,-4.61,55,211198,100,1
202,Faixa 0202,Artista 168,2018,pop,0.657,0.701,0.99,0.165,0.1631,0.047,0.04,-2.34,116,235870,100,1
203,Faixa 0203,Artista 185,2012,funk,0.463,0.436,0.335,0.076,0.021,0.21,0.069,-8.44,72,202106,45,0
204,Faixa 0204,Artista 045,2023,rock,0.516,0.491,0.59,0.486,0.1106,0.039,0.273,-5.17,122,245703,24,0
205,Faixa 0205,Artista 229,2018,pop,0.476,0.817,0.431,0.316,0.1814,0.171,0.223,-8.71,99,249578,6,0
206,Faixa 0206,Artista 191,2016,rock,0.645,0.803,0.148,0.389,0.1931,0.116,0.275,-8.9,136,252158,55,0
207,Faixa 0207,Artista 153,2016,funk,0.456,0.693,0.586,0.455,0.175,0.127,0.17,-2.48,149,159335,33,0
208,Faixa 0208,Artista 282,2018,funk,0.329,0.519,0.389,0.275,0.0634,0.02,0.156,-12.21,69,241422,0,0
209,Faixa 0209,Artista 234,2018,rock,0.604,0.565,0.392,0.244,0.0998,0.112,0.213,-8.48,113,170796,65,0
210,Faixa 0210,Artista 326,2011,rock,0.673,0.465,0.286,0.083,0.0106,0.267,0.202,-3.92,170,204190,44,0
