id,posicao,idade,liga,altura,jogos,minutos,gols,assistencias,finalizacoes,passes_certos_pct,dribles_certos,desarmes,interceptacoes,duelos_ganhos_pct,velocidade,indice_popularidade,valor_mercado_milhoes
19,ATA,28,C,1.78,34,2818,19,5,89,85.5,3.5,2.2,2.2,59.5,91,85,4.8
20,ZAG,26,A,1.76,24,1172,3,1,16,71.2,1.1,2.4,2.2,42.6,81,27,0.2
21,GOL,24,A,1.89,19,1390,0,0,6,89.8,0.3,0.8,1.1,68.5,63,11,0.2
22,MEI,32,B,1.86,37,3064,11,9,60,85.3,2.2,2.0,0.0,57.9,76,34,0.8
23,LAT,22,B,1.88,37,1714,1,17,1,87.5,0.0,2.9,1.3,55.1,69,58,2.5
24,VOL,24,C,1.88,45,4012,1,3,7,77.5,1.1,5.1,2.1,55.8,99,57,1.6
25,ZAG,25,A,1.88,25,1390,1,1,5,85.3,1.5,2.5,3.1,32.7,71,45,0.2
26,VOL,25,C,1.89,25,1792,2,1,13,82.3,2.2,4.1,4.5,52.4,81,63,2.5
27,ZAG,26,B,1.75,42,2238,5,3,25,89.6,2.1,3.8,3.4,52.2,81,55,2.0
28,MEI,27,C,1.83,46,2536,6,18,25,80.7,4.9,2.3,0.7,50.3,65,42,2.0
29,GOL,28,B,1.71,12,818,0,0,4,66.3,0.8,0.7,0.7,54.0,76,31,0.2
30,VOL,26,A,1.73,31,2380,2,3,8,67.1,2.1,4.3,3.0,53.7,87,58,4.1
31,VOL,26,C,1.65,22,1512,4,3,24,82.6,2.8,3.5,1.9,47.4,86,38,1.3
32,VOL,21,A,1.72,13,1008,0,2,0,78.0,1.2,3.4,2.6,48.5,78,43,1.9
33,MEI,27,A,1.9,24,2149,5,7,18,72.7,0.9,0.0,2.0,47.1,77,38,1.1
34,LAT,27,A,1.76,29,1353,1,9,6,82.3,0.5,1.3,3.5,45.7,80,53,1.5
35,MEI,28,B,1.76,29,1540,9,13,52,75.9,4.1,1.7,2.6,54.0,98,99,7.4
36,MEI,24,A,1.81,23,1635,4,10,10,77.3,1.4,0.1,1.5,46.9,82,50,2.5
37,ATA,17,C,1.89,27,1358,15,7,50,80.3,2.7,1.8,0.7,46.7,56,10,0.3
38,VOL,35,C,1.8,29,2052,3,9,19,97.0,2.2,4.9,2.1,44.6,79,38,1.0
39,ATA,26,A,1.78,29,1924,13,4,84,68.0,1.5,0.0,0.0,40.9,83,46,1.1
40,ATA,27,A,1.74,40,2862,22,8,92,73.4,3.6,2.7,3.0,40.9,73,100,8.2
41,VOL,16,B,1.79,36,2486,5,6,24,74.8,1.2,3.2,2.9,36.5,79,41,0.3
42,GOL,30,C,1.69,38,3298,0,0,6,81.8,2.1,2.3,1.6,65.6,80,34,0.8
43,MEI,23,A,1.8,23,1583,10,3,39,76.7,1.7,2.3,2.4,41.7,79,56,1.4
44,LAT,24,C,1.63,37,2598,1,8,5,81.8,0.8,1.1,3.6,58.8,94,29,1.1
45,MEI,21,A,1.75,28,1931,7,13,30,69.0,0.8,1.7,2.6,54.2,66,44,2.5
46,VOL,28,B,1.79,22,1209,4,0,16,72.7,0.8,3.4,2.4,56.1,69,0,0.2
47,GOL,22,C,1.92,27,1699,0,0,0,75.4,1.8,1.7,1.0,45.3,74,29,0.2
48,GOL,30,A,1.8,16,1414,0,0,0,71.5,1.4,1.2,1.0,47.6,78,38,0.2
49,ZAG,28,A,1.88,45,2422,5,2,31,83.2,0.1,4.7,1.8,60.0,83,68,3.1
50,GOL,30,B,1.88,32,2534,0,0,0,83.1,1.7,3.8,0.6,57.8,71,39,0.2
51,GOL,17,A,1.87,15,1302,0,0,6,71.1,0.3,1.0,0.8,68.3,89,11,0.2
52,VOL,28,A,1.69,21,987,2,5,18,77.0,1.4,3.6,3.4,39.1,77,51,1.9
53,VOL,21,C,1.86,29,2450,3,5,10,81.4,2.9,1.1,1.6,49.8,85,28,0.3
54,LAT,16,B,1.79,22,1096,5,4,25,81.1,0.1,2.4,0.8,47.8,78,26,0.2
55,ZAG,28,A,1.78,29,2192,4,2,21,91.5,1.1,5.2,1.5,56.0,80,68,4.2
56,GOL,27,A,1.85,22,1936,0,0,5,78.5,0.9,1.8,0.0,41.9,54,45,0.2
57,ATA,24,C,1.79,44,3408,23,5,64,85.0,3.0,2.6,0.3,49.6,87,65,2.4
58,VOL,24,A,1.68,28,2164,2,4,13,80.2,0.1,2.9,2.1,46.4,87,53,1.6
59,ATA,21,C,1.81,34,2449,19,6,83,78.0,1.7,2.2,0.9,40.3,71,36,1.3
60,MEI,28,B,1.81,25,1157,8,7,32,77.1,1.1,1.2,2.0,35.5,68,32,0.4
61,LAT,28,A,1.82,45,2703,4,10,22,84.6,0.1,2.3,1.4,45.9,92,69,3.2
62,GOL,27,C,1.86,17,1512,0,0,2,79.3,2.3,0.8,1.9,54.7,62,15,0.2
63,LAT,25,A,1.9,30,2001,5,6,27,80.2,0.5,0.8,1.7,31.1,70,36,0.2
64,ATA,25,A,1.75,27,1635,17,6,119,72.3,2.2,2.4,1.3,47.8,78,100,7.9
65,ATA,30,A,1.86,19,1416,9,7,56,75.6,2.1,3.2,2.2,49.5,88,65,3.1
66,VOL,20,B,1.87,25,2151,2,4,2,79.8,1.4,3.6,2.7,45.9,70,34,0.9
67,ZAG,22,A,1.84,38,2265,0,4,0,85.5,0.4,1.9,1.4,45.6,97,52,1.6
68,VOL,23,A,1.88,39,1862,9,8,51,78.3,2.2,4.8,2.8,51.9,72,95,8.1
69,MEI,25,B,1.75,37,2453,7,12,44,79.5,2.3,3.9,1.9,61.3,84,57,3.7
70,VOL,26,A,1.76,22,1489,3,1,14,90.5,0.5,3.5,2.4,58.4,79,72,5.6
71,VOL,18,A,1.79,30,1431,2,6,14,73.1,0.0,3.7,2.4,62.9,93,48,2.7
72,LAT,26,A,1.81,16,1012,1,2,3,81.2,0.0,2.5,2.0,50.9,85,45,0.4
73,ZAG,24,A,1.94,12,565,0,0,6,92.8,0.7,4.1,3.2,50.2,75,47,1.8
74,LAT,23,A,1.92,35,2301,5,5,36,73.1,0.8,1.6,1.3,70.8,82,43,1.5
75,VOL,25,B,1.66,37,2522,9,4,47,74.2,1.7,3.4,1.6,46.8,86,35,0.7
76,ZAG,25,A,1.82,32,1762,2,1,12,84.1,1.5,1.7,1.7,53.3,79,27,0.2
77,ATA,21,B,1.81,20,1239,11,3,56,65.9,3.0,0.4,1.6,64.2,83,30,0.8
78,ATA,20,A,1.8,29,2323,12,6,50,64.9,4.5,1.2,1.6,62.1,83,65,4.3
79,ZAG,32,C,1.97,25,1341,0,0,0,87.4,1.8,3.3,1.9,62.4,83,54,0.2
80,ZAG,29,A,1.82,12,942,1,0,12,68.0,2.7,2.9,2.0,40.1,77,35,0.2
81,LAT,30,B,1.76,9,787,0,3,0,81.4,2.3,0.3,0.5,53.1,78,19,0.2
82,VOL,19,A,1.79,29,1591,2,5,10,94.6,0.7,4.2,3.8,59.6,76,34,1.8
83,ZAG,29,A,1.75,26,1435,3,3,21,93.7,2.7,2.3,3.3,57.2,73,63,3.5
84,LAT,21,C,1.73,32,1698,1,10,10,75.1,0.9,1.6,2.0,47.5,90,60,0.7
85,MEI,27,A,1.85,18,1497,6,9,29,82.9,3.2,2.0,0.3,44.2,64,51,1.9
86,MEI,27,A,1.8,19,1365,6,6,28,69.3,1.4,2.2,1.3,50.5,77,49,0.9
87,ATA,27,B,1.78,39,2791,19,11,65,74.1,2.6,0.0,1.9,40.6,80,91,9.0
88,MEI,28,A,1.65,34,2484,8,11,35,86.2,2.3,2.8,2.5,50.4,80,78,5.9
89,VOL,27,A,1.9,3,171,1,0,12,79.3,2.0,2.2,2.9,57.7,70,32,0.7
90,ATA,19,B,1.72,20,1575,9,5,44,75.6,2.8,2.0,0.4,47.9,71,59,0.4
91,MEI,27,A,1.73,28,2236,5,4,14,79.5,1.5,1.2,1.7,43.1,95,41,2.1
92,VOL,27,A,1.87,29,2168,4,6,18,74.2,0.9,2.8,1.9,61.1,69,46,1.3
93,GOL,24,C,1.76,27,1479,0,0,1,68.1,0.9,4.1,1.7,36.9,51,20,0.2
94,ATA,21,A,2.02,33,1639,18,7,99,83.9,3.6,2.9,1.0,51.0,82,100,5.8
95,VOL,26,A,1.85,30,1537,4,5,34,75.6,2.5,3.1,0.8,37.0,84,72,2.9
96,MEI,20,A,1.74,30,1389,7,7,33,83.3,2.6,2.8,1.5,60.3,70,47,0.9
97,LAT,25,A,1.66,39,3000,1,4,2,75.2,0.1,0.8,0.7,58.4,77,6,0.2
98,VOL,27,A,1.84,22,1393,3,3,4,83.3,1.4,3.1,1.7,48.5,93,74,3.2
99,ZAG,28,B,1.87,29,2325,3,2,20,85.6,2.0,2.7,3.5,63.9,94,50,2.4
100,VOL,30,C,1.77,23,1346,3,1,25,70.5,2.7,3.8,3.5,56.5,81,47,1.1
101,MEI,23,A,1.81,26,1550,10,4,34,82.7,1.6,0.6,0.2,59.2,78,40,2.0
102,VOL,28,C,1.79,26,2148,3,8,12,90.2,0.0,4.6,2.0,57.3,75,41,1.1
103,GOL,22,C,1.83,40,3407,0,0,0,81.1,0.7,3.2,2.1,49.8,71,36,0.2
104,LAT,31,C,1.79,33,2327,4,7,13,75.4,0.0,1.5,1.4,44.1,88,25,0.2
105,ZAG,28,A,1.86,21,1069,1,2,0,71.8,1.6,3.3,4.4,49.0,87,50,4.1
106,MEI,21,A,1.79,32,2614,8,12,53,77.3,2.5,2.8,1.3,50.6,85,48,0.9
107,ATA,21,A,1.86,4,195,0,0,8,75.2,2.8,1.9,0.7,51.5,88,16,0.2
108,ZAG,20,A,1.8,32,2031,4,1,12,91.1,0.8,3.5,1.7,54.1,70,48,1.6
109,LAT,23,B,1.94,34,2544,2,9,7,80.3,3.3,1.0,0.7,46.8,80,55,1.5
110,ATA,26,B,1.75,22,1045,10,3,37,71.6,3.8,1.1,0.9,53.9,98,84,5.6
111,MEI,26,A,1.72,25,1554,4,3,27,77.8,4.3,0.0,1.4,48.9,76,46,2.5
112,VOL,28,A,1.62,34,2550,0,7,0,84.4,3.0,4.4,2.3,52.2,72,66,5.1
113,LAT,30,B,1.84,44,3416,6,12,26,76.5,1.1,2.5,1.0,56.1,80,63,2.8
114,LAT,33,C,1.87,40,2554,6,8,32,73.1,1.7,1.7,1.2,50.2,88,25,0.3
115,ZAG,27,A,1.82,32,2404,5,1,37,82.9,0.0,3.5,2.1,57.8,74,50,1.3
116,ATA,28,B,1.75,25,1246,11,5,48,67.6,3.3,1.9,1.7,58.5,80,45,0.7
117,LAT,20,B,1.71,24,1505,2,9,8,77.0,0.4,1.5,1.9,65.0,79,19,0.5
118,VOL,16,A,1.81,28,1476,6,7,21,77.5,2.0,1.8,2.7,59.7,72,48,0.6
119,VOL,27,A,1.8,34,1759,6,0,24,85.8,1.3,3.2,2.8,38.2,73,34,1.4
120,VOL,21,A,1.81,42,2748,2,5,14,86.3,0.0,3.2,2.9,39.6,84,48,3.0
121,VOL,23,A,1.78,28,1292,3,4,12,85.2,1.2,4.0,2.2,43.8,79,89,5.1
122,VOL,27,A,1.78,30,1700,3,7,14,84.0,2.1,4.0,2.0,48.3,69,100,12.0
123,MEI,29,A,1.83,24,1614,4,11,28,74.7,1.4,2.3,0.0,47.5,71,43,0.2
124,ATA,18,B,1.73,31,1419,19,3,76,74.6,1.5,2.0,2.2,61.9,82,44,0.8
125,ATA,32,B,1.88,41,2956,23,11,65,78.8,2.6,2.2,1.2,58.8,89,65,5.2
126,ATA,25,A,1.78,21,1043,11,4,52,73.6,4.5,1.7,2.5,55.9,79,100,9.8
127,MEI,23,C,1.8,21,1340,5,8,29,72.1,0.6,2.2,1.7,48.1,79,41,0.4
128,LAT,29,A,1.86,26,2051,5,7,16,76.7,0.0,1.8,1.2,48.2,86,15,0.2
129,ZAG,29,B,1.91,43,2185,2,3,13,81.3,0.5,3.8,2.6,56.8,78,50,3.0
130,ATA,25,B,1.82,40,2811,24,6,140,69.8,1.7,0.9,0.3,49.8,80,61,2.4
131,LAT,27,B,1.78,27,2143,3,6,21,71.3,2.0,3.2,0.8,67.0,75,56,2.3
132,ZAG,21,A,1.77,24,1095,1,0,6,84.2,1.1,3.0,2.4,52.2,74,44,1.0
133,ATA,25,B,1.73,7,346,4,1,17,78.7,1.4,1.0,1.6,51.1,88,28,0.3
134,LAT,25,A,1.8,31,2304,1,9,5,66.9,1.6,1.1,1.4,57.2,82,51,1.0
135,LAT,29,B,1.87,33,2731,4,2,21,90.0,0.0,2.4,1.7,41.2,94,38,0.6
136,VOL,23,A,1.87,19,1450,3,3,13,71.9,1.1,4.5,2.6,40.4,81,44,2.0
137,MEI,23,A,1.76,30,1553,11,12,70,80.6,2.2,2.0,1.1,65.0,85,47,3.6
138,VOL,16,A,1.73,27,2120,4,1,21,77.2,1.0,4.2,2.5,52.0,78,23,0.5
139,ZAG,31,B,1.7,11,851,2,1,18,74.0,2.0,1.9,1.6,47.2,71,33,0.2
140,LAT,20,A,1.78,8,577,0,3,2,85.0,1.9,2.1,2.0,46.2,82,32,1.7
141,MEI,23,B,1.76,28,2058,5,12,25,81.8,2.7,1.7,2.3,56.4,93,73,3.0
142,ZAG,27,B,1.83,36,2188,3,2,26,80.6,2.4,4.0,4.0,41.1,82,58,4.2
143,ZAG,25,A,1.85,24,1947,3,2,11,89.0,2.1,3.1,3.2,56.9,92,100,10.5
144,VOL,32,B,1.78,32,2220,4,7,15,74.0,0.0,2.2,3.3,46.5,81,44,0.3
145,ATA,31,A,1.65,26,1216,17,3,111,78.8,1.2,1.3,1.2,66.6,81,88,5.6
146,ATA,16,A,1.87,36,2131,15,5,87,78.0,3.3,1.8,1.4,48.7,82,38,0.6
147,VOL,25,A,1.8,36,2819,8,4,40,89.4,2.0,4.7,2.0,44.3,73,100,12.0
148,ZAG,24,B,1.74,30,1431,2,1,8,88.9,1.8,3.0,2.5,55.7,73,53,1.5
149,LAT,19,A,1.77,24,1272,2,5,14,88.1,0.0,2.8,2.0,53.0,89,43,0.9
150,VOL,22,C,1.8,24,2049,2,6,7,90.2,1.3,2.3,2.9,56.2,78,16,0.5
151,MEI,23,C,1.81,27,1786,7,13,39,79.0,2.4,1.2,1.6,45.6,75,60,2.6
152,MEI,27,A,1.71,27,1610,11,11,73,80.1,2.1,2.7,1.4,58.4,80,57,3.5
153,MEI,29,C,1.83,29,1920,11,17,68,75.4,1.4,2.7,0.7,50.1,80,40,1.8
154,MEI,27,C,1.83,25,1777,7,6,47,77.9,2.7,2.8,2.3,47.8,76,46,2.3
155,ATA,28,C,1.8,27,1634,15,8,72,66.8,1.6,2.3,1.5,42.0,76,54,0.9
156,ZAG,33,A,1.83,45,3407,4,4,29,83.6,2.6,3.8,0.1,65.9,58,48,1.3
157,GOL,21,A,1.83,27,1854,0,0,4,88.8,1.3,2.4,2.9,61.0,74,36,1.1
158,LAT,24,C,1.84,21,1853,3,2,15,75.0,0.5,3.0,0.5,62.8,76,43,0.2
159,ZAG,25,A,1.89,15,802,1,1,12,86.4,2.5,2.1,3.5,44.0,71,39,0.8
160,MEI,25,B,1.8,45,2801,15,17,88,77.0,3.0,2.4,1.8,51.1,77,62,3.6
161,VOL,27,C,1.78,40,2845,1,8,7,80.6,0.0,4.6,2.9,45.9,86,49,2.7
162,MEI,27,A,1.77,5,378,1,2,8,73.1,1.4,3.7,2.2,41.0,76,29,0.2
163,ATA,31,A,1.79,31,1624,9,4,53,73.9,2.1,1.9,1.0,50.4,72,24,0.8
164,VOL,21,B,1.82,38,2421,7,5,29,76.3,0.0,3.2,3.3,60.8,70,48,0.9
165,LAT,27,B,1.85,30,1955,3,8,11,88.5,1.4,1.6,0.9,57.6,86,58,3.0
166,LAT,29,B,1.77,34,1824,1,10,12,80.0,2.3,1.7,1.4,45.8,71,31,0.4
167,ZAG,22,A,1.78,42,3768,3,1,17,93.2,1.1,1.8,2.7,46.4,86,90,4.5
168,VOL,30,A,1.78,20,1631,1,2,9,70.6,1.0,4.4,3.1,38.8,77,54,3.0
169,ZAG,22,B,1.8,42,2101,3,2,5,77.9,2.0,3.8,3.0,41.7,73,30,1.4
170,ATA,24,B,1.87,19,1328,11,3,56,74.3,2.1,2.5,2.0,64.0,78,68,4.5
171,LAT,22,B,1.85,36,3238,2,8,16,78.1,0.9,0.0,1.1,51.5,82,28,0.2
172,ATA,27,C,1.78,38,2766,17,7,102,78.0,0.3,3.7,1.9,42.2,85,35,0.6
173,MEI,31,B,1.78,26,1400,5,12,26,85.7,2.2,1.1,0.9,51.5,82,41,1.0
174,ZAG,22,A,1.89,20,1120,2,1,8,76.6,0.5,2.9,0.0,49.3,83,38,0.2
175,VOL,32,A,1.86,35,3124,3,8,6,77.8,0.0,3.0,2.8,61.3,65,44,1.7
176,ATA,22,A,1.77,28,1993,15,4,85,89.7,1.9,0.5,1.1,58.3,91,95,5.7
177,MEI,24,C,2.0,34,1572,14,12,61,68.2,2.1,0.0,2.6,30.5,86,72,3.6
178,VOL,28,B,1.82,32,2317,5,9,36,81.1,2.5,5.2,2.4,58.3,81,85,4.6
179,MEI,26,C,1.7,29,2103,9,13,63,87.2,1.9,1.8,2.3,49.2,86,43,0.7
180,ZAG,29,B,1.82,18,966,1,1,5,84.3,1.3,3.0,3.2,51.7,66,36,0.5
181,LAT,17,C,1.67,34,1885,0,4,2,69.8,1.7,2.4,2.2,64.2,82,28,0.2
182,GOL,26,B,1.76,29,1687,0,0,5,84.6,1.2,0.5,1.1,54.4,57,28,0.2
183,LAT,20,A,1.81,39,2358,2,8,7,71.9,0.0,1.1,2.4,52.0,85,28,0.3
184,ZAG,29,A,1.74,26,1174,1,1,2,79.6,2.7,3.6,1.5,44.5,72,43,2.6
185,VOL,20,B,1.79,28,1769,2,5,9,80.5,2.3,3.9,2.3,52.3,85,47,2.5
186,ZAG,27,A,1.89,47,2433,6,4,20,81.5,0.8,3.5,2.2,49.9,83,77,5.5
187,ATA,22,B,1.71,17,1469,10,3,60,82.4,2.0,1.4,1.8,46.2,84,13,1.3
188,LAT,30,B,1.84,22,1501,1,2,4,88.4,0.8,4.1,1.3,57.1,87,55,1.8
189,GOL,20,C,1.89,30,2421,0,0,0,90.9,1.5,1.9,0.5,54.2,63,42,0.2
190,ZAG,21,B,1.79,44,2393,1,0,11,82.5,2.4,2.9,2.2,47.9,92,47,1.3
191,LAT,24,B,1.83,18,813,1,4,9,76.0,2.3,2.4,1.6,61.5,90,58,2.8
192,ZAG,26,A,1.79,31,2744,1,5,6,82.6,3.2,4.1,2.7,51.4,76,100,8.6
193,VOL,21,B,1.77,45,2401,4,2,25,65.1,1.4,2.1,2.7,67.2,70,23,0.2
194,VOL,20,C,1.68,22,1557,2,4,14,77.6,2.2,1.8,2.5,37.5,67,33,0.2
195,VOL,26,B,1.79,28,2112,2,10,14,86.8,0.4,2.2,1.7,50.2,78,49,1.7
196,ZAG,25,A,1.83,13,973,0,0,0,76.2,1.9,3.3,3.1,49.4,83,59,2.2
197,MEI,21,A,1.73,43,3868,14,18,74,83.7,1.2,3.0,0.7,52.2,84,87,6.2
198,MEI,25,A,1.84,26,1807,6,11,19,77.4,2.1,2.8,1.3,39.3,72,65,2.2
199,MEI,28,A,1.77,22,1491,3,4,14,73.4,1.9,2.3,0.7,41.8,75,38,0.2
200,VOL,21,A,1.68,29,1808,0,5,3,97.0,0.5,3.3,2.5,56.5,75,54,2.0
201,ZAG,19,A,1.86,34,1821,2,1,11,86.1,2.9,1.8,1.5,48.1,75,34,0.4
202,MEI,27,C,1.7,48,2840,12,23,54,81.5,1.5,0.3,1.0,58.1,84,66,4.1
203,MEI,26,A,1.79,22,1970,10,8,34,82.6,1.4,1.6,0.8,63.8,78,92,6.0
204,GOL,27,A,1.96,47,3301,0,0,7,85.1,2.4,1.5,1.3,31.1,68,36,0.2
205,MEI,24,B,1.9,19,939,2,10,13,89.7,0.0,0.8,2.2,67.7,73,50,1.9
206,ATA,25,C,1.89,29,1431,11,15,57,69.7,3.2,3.4,1.0,60.2,70,51,1.9
207,ATA,28,C,1.8,36,3169,18,6,88,75.2,2.5,0.8,1.8,72.3,70,35,1.4
208,ZAG,22,B,1.85,29,1778,1,1,10,97.0,2.1,1.7,2.5,52.6,91,46,2.7
209,VOL,27,A,1.84,18,815,1,2,11,83.8,0.7,3.1,1.5,52.1,76,43,0.7
210,MEI,25,A,1.76,24,1495,5,7,26,81.2,2.0,2.7,2.5,42.9,72,41,1.6
211,ATA,26,C,1.84,18,1343,12,5,56,79.1,2.4,3.1,0.6,61.0,98,59,2.0
212,ZAG,23,C,1.75,47,2193,2,1,17,87.2,1.1,3.6,2.2,61.6,77,44,1.1
213,ZAG,33,A,1.86,37,3236,0,2,0,83.5,0.0,3.9,3.0,42.5,73,29,0.8
214,GOL,24,C,1.88,6,507,0,0,0,84.8,1.6,1.2,0.8,30.0,72,28,0.2
215,ATA,26,B,1.74,44,2750,20,10,122,71.8,1.5,2.5,1.6,52.8,99,99,6.9
216,MEI,25,B,1.82,17,1237,2,6,11,84.2,2.0,0.9,1.1,63.8,79,59,2.7
217,ZAG,23,C,1.78,37,2762,2,1,12,83.1,1.8,2.0,3.0,59.2,70,32,0.4
218,GOL,23,B,1.82,19,1600,0,0,3,67.6,0.2,3.2,1.3,59.4,72,36,0.2
219,MEI,25,C,1.8,31,1652,6,8,38,76.6,2.6,2.7,0.5,49.1,80,29,0.3
220,ZAG,18,A,1.85,29,1379,0,1,5,89.8,2.8,2.8,3.4,64.0,74,57,1.8
221,ZAG,29,A,1.91,29,1741,3,1,21,85.7,1.3,3.0,2.1,56.6,90,56,2.8
222,MEI,33,B,1.85,27,2308,9,14,44,96.7,2.4,0.1,0.4,52.1,57,38,1.2
223,MEI,32,A,1.81,38,2481,6,10,25,68.6,3.0,0.8,1.2,53.4,79,69,1.5
224,GOL,28,A,1.81,38,3226,0,0,0,82.4,1.4,2.3,0.0,44.9,82,33,0.2
225,LAT,29,C,1.78,45,3833,4,11,22,83.2,2.2,1.4,1.1,52.3,71,53,1.2
226,LAT,32,A,1.73,32,1974,1,8,0,80.4,0.0,1.0,0.6,36.2,89,39,0.2
227,ATA,33,C,1.84,19,1298,9,2,46,72.5,2.9,2.0,1.5,52.3,77,27,0.3
228,VOL,27,A,1.72,31,2264,4,4,28,81.5,2.5,2.9,2.1,47.9,81,73,2.7
229,VOL,26,B,1.79,30,1550,1,4,1,78.7,0.0,2.4,3.8,45.4,84,52,1.3
230,LAT,18,B,1.78,21,1546,2,4,4,86.7,2.1,2.2,1.6,54.8,95,43,1.8
231,ZAG,25,B,1.91,30,2219,2,1,5,83.6,1.3,3.5,2.8,57.3,72,48,2.3
232,MEI,24,C,1.98,27,1277,8,9,36,84.7,0.9,0.7,0.0,62.9,75,48,1.9
233,GOL,29,B,1.86,25,2096,0,0,2,86.3,1.6,3.0,2.1,59.4,60,45,0.2
234,VOL,18,B,1.83,27,1266,2,5,18,80.5,2.0,4.3,2.6,46.9,78,47,1.8
235,ATA,33,A,1.72,21,1559,13,5,74,72.5,1.9,0.0,1.7,41.9,64,55,0.9
236,MEI,21,A,1.84,19,1374,6,4,26,89.2,1.5,3.6,1.1,41.6,84,42,1.0
237,MEI,33,B,1.85,14,952,5,4,14,74.6,3.6,0.1,1.1,57.6,75,37,1.6
238,MEI,27,B,1.7,35,2391,12,9,62,82.0,0.6,2.4,0.8,52.5,82,54,2.4
239,LAT,22,B,1.65,35,2720,1,7,0,78.6,1.2,0.0,1.7,53.4,86,48,0.2
240,VOL,26,B,1.93,25,1543,4,4,17,95.5,1.2,2.4,2.6,40.1,65,27,0.4
241,GOL,27,A,1.91,32,2440,0,0,3,78.6,2.3,0.2,1.4,49.2,80,43,0.3
242,ATA,21,A,1.87,33,2902,16,6,79,85.9,3.7,0.0,2.8,59.2,85,78,3.5
243,ATA,29,B,1.78,17,1343,11,3,45,76.2,2.6,2.4,1.7,49.3,82,33,1.9
244,ATA,20,C,1.86,22,1752,16,4,75,81.0,3.1,0.6,1.4,60.0,80,33,0.9
245,LAT,27,A,1.76,23,1898,4,5,31,72.3,0.0,2.8,2.0,52.8,86,44,1.4
246,GOL,24,A,1.88,40,2214,0,0,1,76.3,0.0,1.8,1.7,44.2,72,24,0.2
247,GOL,31,C,1.84,24,1697,0,0,0,81.5,2.9,2.9,2.1,47.0,76,43,0.3
248,ATA,23,B,1.77,19,1613,12,3,40,77.3,2.0,1.8,1.6,55.4,61,39,1.1
249,LAT,25,B,1.9,37,2661,2,9,14,84.1,0.0,0.1,1.8,59.5,86,52,0.7
250,MEI,25,B,1.89,31,1841,7,13,35,86.4,1.7,1.9,1.6,52.7,76,80,5.9
251,LAT,26,A,1.78,15,1284,2,6,11,82.6,1.1,1.1,1.5,53.8,70,43,0.2
252,LAT,25,B,1.83,13,1080,2,5,6,69.7,1.0,2.6,2.3,65.8,94,78,4.8
253,LAT,22,B,1.72,11,575,1,2,0,76.8,0.0,0.6,1.6,53.5,85,34,0.2
254,LAT,23,A,1.77,21,1822,1,1,4,64.7,0.7,3.9,1.8,48.0,78,28,0.2
255,VOL,25,A,1.89,10,458,1,1,9,68.5,0.5,3.7,2.7,54.9,70,45,0.3
256,VOL,24,A,1.78,35,2451,4,6,17,63.7,0.1,2.5,3.3,38.2,66,36,0.2
257,MEI,31,C,1.91,34,2379,9,12,55,91.0,2.4,2.7,2.0,34.1,80,50,0.8
258,ATA,20,C,1.94,29,2588,17,4,52,67.9,3.2,2.0,0.5,53.8,94,31,1.5
259,VOL,32,A,1.77,25,2116,4,3,22,74.4,2.2,4.1,0.9,42.8,90,56,2.2
